scenario,run_id,hold_steps,sim_steps_per_tick,priority_arm,method,success,parallel_makespan_s,serial_makespan_s,ideal_parallel_makespan_s,speedup_vs_serial,overhead_vs_ideal_parallel_s,wait_time_total_s,wait_time_ur5e_s,wait_time_fr3_s,wait_ticks_ur5e,wait_ticks_fr3,both_move_count,deadlock_wait_count
S1_hold20_sim1_priour5e,1,20,1,ur5e,auto_delay_off_preview,0,inf,20.358,11.28,0.0,inf,0.0,0.0,0.0,0,0,324,201
S1_hold20_sim1_priour5e,1,20,1,ur5e,auto_delay_on_preview,1,11.428,20.486,11.408,1.7926146307315365,0.02000000000000135,0.02,0.0,0.02,0,10,5704,0
S1_hold20_sim1_priour5e,1,20,1,ur5e,execution_actual,1,11.428,20.486,11.408,1.7926146307315365,0.02000000000000135,0.02,0.0,0.02,0,10,5704,0
S1_hold20_sim1_priour5e,2,20,1,ur5e,auto_delay_off_preview,0,inf,20.358,11.28,0.0,inf,0.0,0.0,0.0,0,0,324,201
S1_hold20_sim1_priour5e,2,20,1,ur5e,auto_delay_on_preview,1,11.428,20.486,11.408,1.7926146307315365,0.02000000000000135,0.02,0.0,0.02,0,10,5704,0
S1_hold20_sim1_priour5e,2,20,1,ur5e,execution_actual,1,11.428,20.486,11.408,1.7926146307315365,0.02000000000000135,0.02,0.0,0.02,0,10,5704,0
S2_hold80_sim1_priour5e,1,80,1,ur5e,auto_delay_off_preview,0,inf,21.198,11.76,0.0,inf,0.0,0.0,0.0,0,0,324,201
S2_hold80_sim1_priour5e,1,80,1,ur5e,auto_delay_on_preview,1,11.908,21.326,11.888,1.7908968760497146,0.019999999999999574,0.02,0.0,0.02,0,10,5944,0
S2_hold80_sim1_priour5e,1,80,1,ur5e,execution_actual,1,11.908,21.326,11.888,1.7908968760497146,0.019999999999999574,0.02,0.0,0.02,0,10,5944,0
S2_hold80_sim1_priour5e,2,80,1,ur5e,auto_delay_off_preview,0,inf,21.198,11.76,0.0,inf,0.0,0.0,0.0,0,0,324,201
S2_hold80_sim1_priour5e,2,80,1,ur5e,auto_delay_on_preview,1,11.908,21.326,11.888,1.7908968760497146,0.019999999999999574,0.02,0.0,0.02,0,10,5944,0
S2_hold80_sim1_priour5e,2,80,1,ur5e,execution_actual,1,11.908,21.326,11.888,1.7908968760497146,0.019999999999999574,0.02,0.0,0.02,0,10,5944,0
S3_hold160_sim1_priour5e,1,160,1,ur5e,auto_delay_off_preview,0,inf,22.318,12.4,0.0,inf,0.0,0.0,0.0,0,0,324,201
S3_hold160_sim1_priour5e,1,160,1,ur5e,auto_delay_on_preview,1,12.548,22.446,12.528,1.7888109658909788,0.019999999999999574,0.02,0.0,0.02,0,10,6264,0
S3_hold160_sim1_priour5e,1,160,1,ur5e,execution_actual,1,12.548,22.446,12.528,1.7888109658909788,0.019999999999999574,0.02,0.0,0.02,0,10,6264,0
S3_hold160_sim1_priour5e,2,160,1,ur5e,auto_delay_off_preview,0,inf,22.318,12.4,0.0,inf,0.0,0.0,0.0,0,0,324,201
S3_hold160_sim1_priour5e,2,160,1,ur5e,auto_delay_on_preview,1,12.548,22.446,12.528,1.7888109658909788,0.019999999999999574,0.02,0.0,0.02,0,10,6264,0
S3_hold160_sim1_priour5e,2,160,1,ur5e,execution_actual,1,12.548,22.446,12.528,1.7888109658909788,0.019999999999999574,0.02,0.0,0.02,0,10,6264,0
